position,mlu,style,tempo,performer,division,division_follower,division_bigram,pattern,follower,bigram
1,lick,-,UP,Art Pepper,4,2,[4|2],0001,01,[0001|01]
2,lick,-,UP,Art Pepper,2,4,[2|4],01,1111,[01|1111]
3,lick,-,UP,Art Pepper,4,4,[4|4],1111,0001,[1111|0001]
4,lick,-,UP,Art Pepper,4,1,[4|1],0001,1,[0001|1]
5,lick,-,UP,Art Pepper,1,0,[1|0],1,0,[1|0]
1,lick,-,UP,J.J. Johnson,2,2,[2|2],11,11,[11|11]
2,lick,-,UP,J.J. Johnson,2,2,[2|2],11,11,[11|11]
3,lick,-,UP,J.J. Johnson,2,2,[2|2],11,01,[11|01]
4,lick,-,UP,J.J. Johnson,2,4,[2|4],01,1001,[01|1001]
5,lick,-,UP,J.J. Johnson,4,1,[4|1],1001,1,[1001|1]
6,lick,-,UP,J.J. Johnson,1,4,[1|4],1,0001,[1|0001]
7,lick,-,UP,J.J. Johnson,4,1,[4|1],0001,1,[0001|1]
8,lick,-,UP,J.J. Johnson,1,3,[1|3],1,111,[1|111]
9,lick,-,UP,J.J. Johnson,3,2,[3|2],111,01,[111|01]
10,lick,-,UP,J.J. Johnson,2,1,[2|1],01,1,[01|1]
11,lick,-,UP,J.J. Johnson,1,2,[1|2],1,11,[1|11]
12,lick,-,UP,J.J. Johnson,2,6,[2|6],11,000011,[11|000011]
13,lick,-,UP,J.J. Johnson,6,2,[6|2],000011,01,[000011|01]
14,lick,-,UP,J.J. Johnson,2,1,[2|1],01,1,[01|1]
15,lick,-,UP,J.J. Johnson,1,1,[1|1],1,1,[1|1]
16,lick,-,UP,J.J. Johnson,1,1,[1|1],1,1,[1|1]
17,lick,-,UP,J.J. Johnson,1,2,[1|2],1,01,[1|01]
18,lick,-,UP,J.J. Johnson,2,4,[2|4],01,1101,[01|1101]
19,lick,-,UP,J.J. Johnson,4,2,[4|2],1101,11,[1101|11]
20,lick,-,UP,J.J. Johnson,2,2,[2|2],11,11,[11|11]
21,lick,-,UP,J.J. Johnson,2,0,[2|0],11,0,[11|0]
1,line,-,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
2,line,-,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
3,line,-,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
4,line,-,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
5,line,-,UP,Art Pepper,2,4,[2|4],11,0001,[11|0001]
6,line,-,UP,Art Pepper,4,2,[4|2],0001,11,[0001|11]
7,line,-,UP,Art Pepper,2,2,[2|2],11,01,[11|01]
8,line,-,UP,Art Pepper,2,2,[2|2],01,01,[01|01]
9,line,-,UP,Art Pepper,2,2,[2|2],01,11,[01|11]
10,line,-,UP,Art Pepper,2,4,[2|4],11,0001,[11|0001]
11,line,-,UP,Art Pepper,4,2,[4|2],0001,01,[0001|01]
12,line,-,UP,Art Pepper,2,0,[2|0],01,0,[01|0]
1,line,-,UP,Dizzy Gillespie,2,4,[2|4],11,0111,[11|0111]
2,line,-,UP,Dizzy Gillespie,4,2,[4|2],0111,11,[0111|11]
3,line,-,UP,Dizzy Gillespie,2,2,[2|2],11,11,[11|11]
4,line,-,UP,Dizzy Gillespie,2,2,[2|2],11,01,[11|01]
5,line,-,UP,Dizzy Gillespie,2,1,[2|1],01,1,[01|1]
6,line,-,UP,Dizzy Gillespie,1,2,[1|2],1,11,[1|11]
7,line,-,UP,Dizzy Gillespie,2,2,[2|2],11,11,[11|11]
8,line,-,UP,Dizzy Gillespie,2,2,[2|2],11,11,[11|11]
9,line,-,UP,Dizzy Gillespie,2,1,[2|1],11,1,[11|1]
10,line,-,UP,Dizzy Gillespie,1,1,[1|1],1,1,[1|1]
11,line,-,UP,Dizzy Gillespie,1,2,[1|2],1,11,[1|11]
12,line,-,UP,Dizzy Gillespie,2,4,[2|4],11,1101,[11|1101]
13,line,-,UP,Dizzy Gillespie,4,2,[4|2],1101,11,[1101|11]
14,line,-,UP,Dizzy Gillespie,2,3,[2|3],11,111,[11|111]
15,line,-,UP,Dizzy Gillespie,3,0,[3|0],111,0,[111|0]
1,lick,-,UP,Steve Coleman,2,4,[2|4],11,1001,[11|1001]
2,lick,-,UP,Steve Coleman,4,2,[4|2],1001,11,[1001|11]
3,lick,-,UP,Steve Coleman,2,2,[2|2],11,01,[11|01]
4,lick,-,UP,Steve Coleman,2,6,[2|6],01,101101,[01|101101]
5,lick,-,UP,Steve Coleman,6,3,[6|3],101101,011,[101101|011]
6,lick,-,UP,Steve Coleman,3,2,[3|2],011,01,[011|01]
7,lick,-,UP,Steve Coleman,2,2,[2|2],01,11,[01|11]
8,lick,-,UP,Steve Coleman,2,0,[2|0],11,0,[11|0]
1,line,-,MEDIUM UP,Kenny Dorham,4,2,[4|2],1111,11,[1111|11]
2,line,-,MEDIUM UP,Kenny Dorham,2,2,[2|2],11,11,[11|11]
3,line,-,MEDIUM UP,Kenny Dorham,2,2,[2|2],11,11,[11|11]
4,line,-,MEDIUM UP,Kenny Dorham,2,1,[2|1],11,1,[11|1]
5,line,-,MEDIUM UP,Kenny Dorham,1,2,[1|2],1,11,[1|11]
6,line,-,MEDIUM UP,Kenny Dorham,2,3,[2|3],11,011,[11|011]
7,line,-,MEDIUM UP,Kenny Dorham,3,0,[3|0],011,0,[011|0]
1,lick,-,MEDIUM,Hank Mobley,4,6,[4|6],0111,010001,[0111|010001]
2,lick,-,MEDIUM,Hank Mobley,6,7,[6|7],010001,0100101,[010001|0100101]
3,lick,-,MEDIUM,Hank Mobley,7,0,[7|0],0100101,0,[0100101|0]
1,lick,-,MEDIUM,Miles Davis,8,2,[8|2],11000001,11,[11000001|11]
2,lick,-,MEDIUM,Miles Davis,2,0,[2|0],11,0,[11|0]
1,lick,-,UP,Wayne Shorter,1,3,[1|3],1,011,[1|011]
2,lick,-,UP,Wayne Shorter,3,2,[3|2],011,11,[011|11]
3,lick,-,UP,Wayne Shorter,2,2,[2|2],11,11,[11|11]
4,lick,-,UP,Wayne Shorter,2,1,[2|1],11,1,[11|1]
5,lick,-,UP,Wayne Shorter,1,3,[1|3],1,011,[1|011]
6,lick,-,UP,Wayne Shorter,3,0,[3|0],011,0,[011|0]
1,lick,-,UP,Joe Lovano,2,1,[2|1],01,1,[01|1]
2,lick,-,UP,Joe Lovano,1,0,[1|0],1,0,[1|0]
1,lick,-,UP,J.J. Johnson,2,2,[2|2],11,11,[11|11]
2,lick,-,UP,J.J. Johnson,2,2,[2|2],11,11,[11|11]
3,lick,-,UP,J.J. Johnson,2,4,[2|4],11,1100,[11|1100]
4,lick,-,UP,J.J. Johnson,4,1,[4|1],1100,1,[1100|1]
5,lick,-,UP,J.J. Johnson,1,2,[1|2],1,11,[1|11]
6,lick,-,UP,J.J. Johnson,2,4,[2|4],11,0011,[11|0011]
7,lick,-,UP,J.J. Johnson,4,1,[4|1],0011,1,[0011|1]
8,lick,-,UP,J.J. Johnson,1,1,[1|1],1,1,[1|1]
9,lick,-,UP,J.J. Johnson,1,2,[1|2],1,01,[1|01]
10,lick,-,UP,J.J. Johnson,2,4,[2|4],01,0001,[01|0001]
11,lick,-,UP,J.J. Johnson,4,2,[4|2],0001,11,[0001|11]
12,lick,-,UP,J.J. Johnson,2,2,[2|2],11,01,[11|01]
13,lick,-,UP,J.J. Johnson,2,2,[2|2],01,01,[01|01]
14,lick,-,UP,J.J. Johnson,2,2,[2|2],01,11,[01|11]
15,lick,-,UP,J.J. Johnson,2,1,[2|1],11,1,[11|1]
16,lick,-,UP,J.J. Johnson,1,0,[1|0],1,0,[1|0]
1,lick,-,UP,Joe Henderson,2,2,[2|2],11,01,[11|01]
2,lick,-,UP,Joe Henderson,2,4,[2|4],01,0110,[01|0110]
3,lick,-,UP,Joe Henderson,4,4,[4|4],0110,1101,[0110|1101]
4,lick,-,UP,Joe Henderson,4,1,[4|1],1101,1,[1101|1]
5,lick,-,UP,Joe Henderson,1,2,[1|2],1,01,[1|01]
6,lick,-,UP,Joe Henderson,2,4,[2|4],01,1001,[01|1001]
7,lick,-,UP,Joe Henderson,4,1,[4|1],1001,1,[1001|1]
8,lick,-,UP,Joe Henderson,1,1,[1|1],1,1,[1|1]
9,lick,-,UP,Joe Henderson,1,4,[1|4],1,1001,[1|1001]
10,lick,-,UP,Joe Henderson,4,4,[4|4],1001,1011,[1001|1011]
11,lick,-,UP,Joe Henderson,4,2,[4|2],1011,01,[1011|01]
12,lick,-,UP,Joe Henderson,2,1,[2|1],01,1,[01|1]
13,lick,-,UP,Joe Henderson,1,0,[1|0],1,0,[1|0]
1,lick,-,MEDIUM UP,Art Pepper,2,4,[2|4],11,0001,[11|0001]
2,lick,-,MEDIUM UP,Art Pepper,4,4,[4|4],0001,0011,[0001|0011]
3,lick,-,MEDIUM UP,Art Pepper,4,0,[4|0],0011,0,[0011|0]
1,line,-,UP,Sonny Rollins,2,2,[2|2],11,11,[11|11]
2,line,-,UP,Sonny Rollins,2,2,[2|2],11,11,[11|11]
3,line,-,UP,Sonny Rollins,2,2,[2|2],11,11,[11|11]
4,line,-,UP,Sonny Rollins,2,2,[2|2],11,11,[11|11]
5,line,-,UP,Sonny Rollins,2,2,[2|2],11,11,[11|11]
6,line,-,UP,Sonny Rollins,2,2,[2|2],11,11,[11|11]
7,line,-,UP,Sonny Rollins,2,2,[2|2],11,11,[11|11]
8,line,-,UP,Sonny Rollins,2,2,[2|2],11,11,[11|11]
9,line,-,UP,Sonny Rollins,2,2,[2|2],11,11,[11|11]
10,line,-,UP,Sonny Rollins,2,2,[2|2],11,11,[11|11]
11,line,-,UP,Sonny Rollins,2,2,[2|2],11,01,[11|01]
12,line,-,UP,Sonny Rollins,2,0,[2|0],01,0,[01|0]
1,line,-,MEDIUM UP,Joe Henderson,4,4,[4|4],1100,0111,[1100|0111]
2,line,-,MEDIUM UP,Joe Henderson,4,4,[4|4],0111,1111,[0111|1111]
3,line,-,MEDIUM UP,Joe Henderson,4,2,[4|2],1111,11,[1111|11]
4,line,-,MEDIUM UP,Joe Henderson,2,0,[2|0],11,0,[11|0]
