id;mlu;style;tempo;performer;feel;barsspan;startbar;startbeat;endbar;endbeat;notes;length;divisions;subrhythm
1;lick;-;UP;Art Pepper;-;-;-;-;-;-;8;5;4,2,4,4,1;0001,01,1111,0001,1
2;lick;-;UP;J.J. Johnson;-;-;-;-;-;-;33;21;2,2,2,2,4,1,4,1,3,2,1,2,6,2,1,1,1,2,4,2,2;11,11,11,01,1001,1,0001,1,111,01,1,11,000011,01,1,1,1,01,1101,11,11
3;line;-;UP;Art Pepper;-;-;-;-;-;-;19;12;2,2,2,2,2,4,2,2,2,2,4,2;11,11,11,11,11,0001,11,01,01,11,0001,01
4;line;-;UP;Dizzy Gillespie;-;-;-;-;-;-;29;15;2,4,2,2,2,1,2,2,2,1,1,2,4,2,3;11,0111,11,11,01,1,11,11,11,1,1,11,1101,11,111
5;lick;-;UP;Steve Coleman;-;-;-;-;-;-;16;8;2,4,2,2,6,3,2,2;11,1001,11,01,101101,011,01,11
6;line;-;MEDIUM UP;Kenny Dorham;-;-;-;-;-;-;15;7;4,2,2,2,1,2,3;1111,11,11,11,1,11,011
7;lick;-;MEDIUM;Hank Mobley;-;-;-;-;-;-;8;3;4,6,7;0111,010001,0100101
8;lick;-;MEDIUM;Miles Davis;-;-;-;-;-;-;5;2;8,2;11000001,11
9;lick;-;UP;Wayne Shorter;-;-;-;-;-;-;10;6;1,3,2,2,1,3;1,011,11,11,1,011
10;lick;-;UP;Joe Lovano;-;-;-;-;-;-;2;2;2,1;01,1
11;lick;-;UP;J.J. Johnson;-;-;-;-;-;-;24;16;2,2,2,4,1,2,4,1,1,2,4,2,2,2,2,1;11,11,11,1100,1,11,0011,1,1,01,0001,11,01,01,11,1
12;lick;-;UP;Joe Henderson;-;-;-;-;-;-;21;13;2,2,4,4,1,2,4,1,1,4,4,2,1;11,01,0110,1101,1,01,1001,1,1,1001,1011,01,1
13;lick;-;MEDIUM UP;Art Pepper;-;-;-;-;-;-;5;3;2,4,4;11,0001,0011
14;line;-;UP;Sonny Rollins;-;-;-;-;-;-;23;12;2,2,2,2,2,2,2,2,2,2,2,2;11,11,11,11,11,11,11,11,11,11,11,01
15;line;-;MEDIUM UP;Joe Henderson;-;-;-;-;-;-;11;4;4,4,4,2;1100,0111,1111,11
16;lick;-;UP;David Liebman;-;-;-;-;-;-;19;12;4,4,1,2,4,4,2,2,1,3,1,1;1011,1100,1,01,1001,1001,01,11,1,011,1,1
17;line;-;MEDIUM;Bob Berg;-;-;-;-;-;-;13;4;7,8,4,1;0101011,00101011,1111,1
18;line;-;MEDIUM;Dexter Gordon;-;-;-;-;-;-;13;4;5,4,4,3;01111,0111,0111,111
19;lick;-;MEDIUM UP;John Coltrane;-;-;-;-;-;-;2;2;2,1;01,1
20;lick;-;UP;Art Pepper;-;-;-;-;-;-;5;3;3,3,2;011,011,01
21;lick;-;UP;Bob Berg;-;-;-;-;-;-;4;2;4,1;1011,1
22;lick;-;MEDIUM UP;Cannonball Adderley;-;-;-;-;-;-;5;3;4,4,2;0001,1001,11
23;line;-;MEDIUM;Phil Woods;-;-;-;-;-;-;22;6;4,4,4,4,6,4;0111,0111,1111,1111,011101,1111
24;lick;-;UP;J.J. Johnson;-;-;-;-;-;-;7;4;2,2,1,3;11,11,1,011
25;lick;-;UP;Gerry Mulligan;-;-;-;-;-;-;39;30;1,1,2,2,4,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,4,1,1,2,2,1,2,2,1;1,1,01,11,1001,1,1,1,11,11,11,1,01,01,01,11,1,1,1,1,1,1001,1,1,11,01,1,01,11,1
26;lick;-;MEDIUM;Lee Morgan;-;-;-;-;-;-;70;30;2,3,4,6,2,1,2,1,6,2,2,2,1,2,1,2,2,3,4,2,3,3,4,4,4,3,2,2,3,4;01,110,1111,011110,11,1,11,1,110111,11,11,11,1,11,1,11,11,011,1111,11,011,110,1111,1100,1111,110,11,11,111,0111
27;line;-;UP;Miles Davis;-;-;-;-;-;-;11;7;1,2,2,2,2,2,2;1,11,01,01,11,11,11
28;lick;-;UP;Branford Marsalis;-;-;-;-;-;-;37;23;6,6,3,2,2,2,2,2,2,1,2,4,2,2,2,2,2,2,2,1,1,4,1;100011,100011,011,11,11,01,01,11,11,1,11,1001,01,01,01,01,11,11,11,1,1,0001,1
29;line;-;UP;Fats Navarro;-;-;-;-;-;-;19;9;2,2,2,1,2,2,3,2,3;11,11,11,1,11,11,111,11,111
30;lick;-;UP;John Coltrane;-;-;-;-;-;-;5;4;1,2,3,2;1,01,011,01
31;lick;-;UP;Nat Adderley;-;-;-;-;-;-;10;8;2,1,2,4,1,1,1,1;11,1,01,0011,1,1,1,1
32;line;-;UP;Wayne Shorter;-;-;-;-;-;-;12;7;2,2,2,2,1,2,2;11,01,11,11,1,11,11
33;line;-;MEDIUM;Cannonball Adderley;-;-;-;-;-;-;28;10;2,2,2,2,3,3,1,6,6,6;11,11,11,11,111,111,1,011011,110111,011011
34;lick;-;MEDIUM UP;Paul Desmond;-;-;-;-;-;-;11;9;1,1,1,2,2,2,2,2,1;1,1,1,01,01,11,11,01,1
35;line;-;MEDIUM UP;David Liebman;-;-;-;-;-;-;29;14;1,2,6,3,3,4,6,1,1,2,1,1,1,1;1,01,111110,111,111,1110,111011,1,1,11,1,1,1,1
36;lick;-;UP;Charlie Parker;-;-;-;-;-;-;8;5;4,2,2,2,2;1001,01,11,11,01
37;lick;-;MEDIUM UP;Clifford Brown;-;-;-;-;-;-;25;13;2,2,4,3,1,4,2,1,2,3,2,2,3;01,01,0001,111,1,1101,11,1,11,111,11,11,111
38;line;-;MEDIUM UP;Lee Konitz;-;-;-;-;-;-;17;7;5,4,1,1,2,2,4;11111,1001,1,1,11,11,1111
39;lick;-;UP;Joe Lovano;-;-;-;-;-;-;1;1;1;1
40;line;-;MEDIUM;Cannonball Adderley;-;-;-;-;-;-;22;10;2,1,2,2,2,4,6,1,6,4;11,1,01,01,11,0111,010111,1,010111,0111
41;line;-;UP;Wynton Marsalis;-;-;-;-;-;-;25;14;1,2,2,4,2,2,2,3,2,2,4,2,2,2;1,11,11,0001,11,01,11,111,11,11,0001,11,11,11
42;lick;-;UP;Don Ellis;-;-;-;-;-;-;4;3;4,2,2;0011,01,01
43;lick;-;MEDIUM;Miles Davis;-;-;-;-;-;-;9;5;2,1,1,4,2;11,1,1,0111,11
