mlu,tempo,performer
quote,UP,Art Pepper
line,UP,Art Pepper
lick,UP,Art Pepper
expressive,UP,Art Pepper
fragment,UP,Art Pepper
melody,UP,Art Pepper
theme,UP,Art Pepper
rhythm,UP,Art Pepper
line,MEDIUM UP,Art Pepper
lick,MEDIUM UP,Art Pepper
melody,MEDIUM UP,Art Pepper
theme,MEDIUM UP,Art Pepper
fragment,MEDIUM UP,Art Pepper
rhythm,MEDIUM UP,Art Pepper
rhythm,UP,Bob Berg
line,UP,Bob Berg
lick,UP,Bob Berg
melody,UP,Bob Berg
expressive,UP,Bob Berg
fragment,UP,Bob Berg
melody,MEDIUM,Bob Berg
line,MEDIUM,Bob Berg
lick,MEDIUM,Bob Berg
rhythm,MEDIUM,Bob Berg
theme,MEDIUM,Bob Berg
expressive,MEDIUM,Bob Berg
lick,MEDIUM UP,Bob Berg
line,MEDIUM UP,Bob Berg
rhythm,MEDIUM UP,Bob Berg
expressive,MEDIUM UP,Bob Berg
theme,MEDIUM,Branford Marsalis
lick,MEDIUM,Branford Marsalis
line,MEDIUM,Branford Marsalis
rhythm,MEDIUM,Branford Marsalis
lick,UP,Branford Marsalis
line,UP,Branford Marsalis
rhythm,UP,Branford Marsalis
melody,MEDIUM,Cannonball Adderley
fragment,MEDIUM,Cannonball Adderley
lick,MEDIUM,Cannonball Adderley
line,MEDIUM,Cannonball Adderley
rhythm,MEDIUM,Cannonball Adderley
lick,MEDIUM UP,Cannonball Adderley
melody,MEDIUM UP,Cannonball Adderley
line,MEDIUM UP,Cannonball Adderley
rhythm,MEDIUM UP,Cannonball Adderley
expressive,MEDIUM UP,Cannonball Adderley
lick,UP,Cannonball Adderley
line,UP,Cannonball Adderley
line,MEDIUM UP,Charlie Parker
lick,MEDIUM UP,Charlie Parker
melody,MEDIUM UP,Charlie Parker
lick,UP,Charlie Parker
line,UP,Charlie Parker
fragment,UP,Charlie Parker
theme,UP,Charlie Parker
melody,UP,Charlie Parker
quote,UP,Charlie Parker
lick,MEDIUM,Charlie Parker
line,MEDIUM,Charlie Parker
melody,MEDIUM,Charlie Parker
lick,UP,Chet Baker
line,UP,Chet Baker
melody,UP,Chet Baker
rhythm,UP,Chet Baker
lick,MEDIUM UP,Chet Baker
line,MEDIUM UP,Chet Baker
melody,MEDIUM UP,Chet Baker
theme,MEDIUM UP,Chet Baker
fragment,UP,Chet Baker
lick,UP,Chris Potter
line,UP,Chris Potter
melody,UP,Chris Potter
expressive,UP,Chris Potter
melody,UP,Clifford Brown
lick,UP,Clifford Brown
fragment,UP,Clifford Brown
expressive,UP,Clifford Brown
line,UP,Clifford Brown
theme,UP,Clifford Brown
rhythm,UP,Clifford Brown
lick,MEDIUM UP,Clifford Brown
melody,MEDIUM UP,Clifford Brown
fragment,MEDIUM UP,Clifford Brown
line,MEDIUM UP,Clifford Brown
rhythm,MEDIUM,Clifford Brown
lick,MEDIUM,Clifford Brown
line,MEDIUM,Clifford Brown
expressive,MEDIUM,Clifford Brown
rhythm,MEDIUM UP,Clifford Brown
rhythm,MEDIUM,Curtis Fuller
lick,MEDIUM,Curtis Fuller
line,MEDIUM,Curtis Fuller
fragment,MEDIUM,Curtis Fuller
melody,MEDIUM,Curtis Fuller
lick,MEDIUM UP,Curtis Fuller
line,MEDIUM UP,Curtis Fuller
quote,MEDIUM UP,Curtis Fuller
melody,MEDIUM UP,Curtis Fuller
lick,MEDIUM,David Liebman
line,MEDIUM,David Liebman
expressive,MEDIUM,David Liebman
lick,UP,David Liebman
line,UP,David Liebman
rhythm,UP,David Liebman
fragment,UP,David Liebman
melody,UP,David Liebman
lick,MEDIUM UP,David Liebman
melody,MEDIUM UP,David Liebman
line,MEDIUM UP,David Liebman
expressive,MEDIUM UP,David Liebman
rhythm,MEDIUM UP,David Liebman
expressive,UP,David Liebman
theme,UP,David Liebman
melody,MEDIUM,David Murray
line,MEDIUM,David Murray
lick,MEDIUM,David Murray
lick,UP,Dexter Gordon
line,UP,Dexter Gordon
melody,UP,Dexter Gordon
expressive,UP,Dexter Gordon
melody,MEDIUM SLOW,Dexter Gordon
line,MEDIUM SLOW,Dexter Gordon
expressive,MEDIUM SLOW,Dexter Gordon
lick,MEDIUM SLOW,Dexter Gordon
fragment,MEDIUM SLOW,Dexter Gordon
quote,UP,Dexter Gordon
rhythm,UP,Dexter Gordon
fragment,UP,Dexter Gordon
expressive,MEDIUM,Dexter Gordon
lick,MEDIUM,Dexter Gordon
line,MEDIUM,Dexter Gordon
rhythm,MEDIUM,Dexter Gordon
fragment,MEDIUM,Dexter Gordon
melody,MEDIUM,Dexter Gordon
lick,UP,Dizzy Gillespie
line,UP,Dizzy Gillespie
expressive,UP,Dizzy Gillespie
rhythm,UP,Dizzy Gillespie
lick,MEDIUM,Dizzy Gillespie
expressive,MEDIUM,Dizzy Gillespie
melody,UP,Dizzy Gillespie
melody,MEDIUM UP,Dizzy Gillespie
line,MEDIUM UP,Dizzy Gillespie
lick,MEDIUM UP,Dizzy Gillespie
lick,UP,Don Byas
fragment,UP,Don Byas
melody,UP,Don Byas
line,UP,Don Byas
expressive,UP,Don Byas
lick,MEDIUM UP,Don Ellis
melody,MEDIUM UP,Don Ellis
line,MEDIUM UP,Don Ellis
lick,UP,Don Ellis
line,UP,Don Ellis
expressive,UP,Don Ellis
line,MEDIUM,Don Ellis
melody,MEDIUM,Don Ellis
lick,MEDIUM,Don Ellis
rhythm,MEDIUM,Don Ellis
rhythm,MEDIUM UP,Don Ellis
lick,MEDIUM,Eric Dolphy
line,MEDIUM,Eric Dolphy
fragment,MEDIUM,Eric Dolphy
expressive,MEDIUM,Eric Dolphy
melody,MEDIUM,Eric Dolphy
rhythm,MEDIUM,Eric Dolphy
line,UP,Eric Dolphy
lick,UP,Eric Dolphy
rhythm,UP,Eric Dolphy
line,MEDIUM UP,Eric Dolphy
lick,MEDIUM UP,Eric Dolphy
fragment,MEDIUM UP,Eric Dolphy
rhythm,MEDIUM UP,Eric Dolphy
lick,UP,Fats Navarro
line,UP,Fats Navarro
lick,MEDIUM UP,Fats Navarro
line,MEDIUM UP,Fats Navarro
melody,UP,Fats Navarro
lick,MEDIUM,Freddie Hubbard
line,MEDIUM,Freddie Hubbard
rhythm,MEDIUM,Freddie Hubbard
fragment,MEDIUM,Freddie Hubbard
melody,MEDIUM,Freddie Hubbard
lick,MEDIUM UP,Freddie Hubbard
line,MEDIUM UP,Freddie Hubbard
melody,MEDIUM UP,Freddie Hubbard
rhythm,MEDIUM UP,Freddie Hubbard
fragment,MEDIUM UP,Freddie Hubbard
expressive,MEDIUM UP,Freddie Hubbard
melody,MEDIUM,George Coleman
lick,MEDIUM,George Coleman
line,MEDIUM,George Coleman
lick,MEDIUM,Gerry Mulligan
melody,MEDIUM,Gerry Mulligan
line,MEDIUM,Gerry Mulligan
lick,MEDIUM UP,Gerry Mulligan
line,MEDIUM UP,Gerry Mulligan
lick,UP,Gerry Mulligan
line,UP,Gerry Mulligan
melody,UP,Gerry Mulligan
lick,MEDIUM,Hank Mobley
line,MEDIUM,Hank Mobley
fragment,MEDIUM,Hank Mobley
lick,UP,Hank Mobley
line,UP,Hank Mobley
line,MEDIUM UP,Hank Mobley
lick,MEDIUM UP,Hank Mobley
melody,MEDIUM SLOW,Hank Mobley
lick,MEDIUM SLOW,Hank Mobley
line,MEDIUM SLOW,Hank Mobley
rhythm,MEDIUM SLOW,Hank Mobley
theme,MEDIUM SLOW,Hank Mobley
lick,UP,Herbie Hancock
line,UP,Herbie Hancock
fragment,UP,Herbie Hancock
theme,UP,Herbie Hancock
lick,UP,J.J. Johnson
melody,UP,J.J. Johnson
line,UP,J.J. Johnson
rhythm,UP,J.J. Johnson
fragment,UP,J.J. Johnson
nan,MEDIUM,J.J. Johnson
fragment,MEDIUM,J.J. Johnson
lick,MEDIUM,J.J. Johnson
melody,MEDIUM,J.J. Johnson
line,MEDIUM,J.J. Johnson
rhythm,MEDIUM,J.J. Johnson
theme,MEDIUM,J.J. Johnson
lick,UP,Joe Henderson
line,UP,Joe Henderson
fragment,UP,Joe Henderson
expressive,UP,Joe Henderson
rhythm,UP,Joe Henderson
line,MEDIUM UP,Joe Henderson
melody,MEDIUM UP,Joe Henderson
lick,MEDIUM UP,Joe Henderson
rhythm,MEDIUM UP,Joe Henderson
fragment,MEDIUM UP,Joe Henderson
expressive,MEDIUM UP,Joe Henderson
melody,MEDIUM,Joe Henderson
lick,MEDIUM,Joe Henderson
fragment,MEDIUM,Joe Henderson
line,MEDIUM,Joe Henderson
rhythm,MEDIUM,Joe Henderson
melody,UP,Joe Henderson
melody,MEDIUM,Joe Lovano
lick,MEDIUM,Joe Lovano
line,MEDIUM,Joe Lovano
line,MEDIUM SLOW,Joe Lovano
lick,MEDIUM SLOW,Joe Lovano
melody,MEDIUM SLOW,Joe Lovano
fragment,MEDIUM SLOW,Joe Lovano
expressive,MEDIUM SLOW,Joe Lovano
line,UP,Joe Lovano
lick,UP,Joe Lovano
rhythm,UP,Joe Lovano
fragment,UP,Joe Lovano
theme,UP,Joe Lovano
expressive,UP,Joe Lovano
melody,UP,Joe Lovano
lick,UP,John Abercrombie
line,UP,John Abercrombie
lick,UP,John Coltrane
melody,UP,John Coltrane
line,UP,John Coltrane
lick,MEDIUM UP,John Coltrane
line,MEDIUM UP,John Coltrane
fragment,MEDIUM UP,John Coltrane
theme,MEDIUM,John Coltrane
melody,MEDIUM,John Coltrane
line,MEDIUM,John Coltrane
expressive,MEDIUM,John Coltrane
lick,MEDIUM,John Coltrane
theme,MEDIUM UP,John Coltrane
melody,MEDIUM UP,John Coltrane
fragment,UP,John Coltrane
theme,UP,John Coltrane
expressive,UP,John Coltrane
rhythm,UP,John Coltrane
expressive,MEDIUM UP,John Coltrane
fragment,MEDIUM,John Coltrane
line,MEDIUM SLOW,John Coltrane
lick,MEDIUM SLOW,John Coltrane
melody,MEDIUM SLOW,John Coltrane
expressive,MEDIUM,Joshua Redman
lick,MEDIUM,Joshua Redman
line,MEDIUM,Joshua Redman
quote,MEDIUM,Joshua Redman
lick,UP,Joshua Redman
line,UP,Joshua Redman
lick,UP,Kai Winding
melody,UP,Kai Winding
line,UP,Kai Winding
quote,UP,Kenny Dorham
line,UP,Kenny Dorham
lick,UP,Kenny Dorham
lick,MEDIUM,Kenny Dorham
line,MEDIUM,Kenny Dorham
melody,UP,Kenny Dorham
rhythm,UP,Kenny Dorham
line,MEDIUM UP,Kenny Dorham
quote,MEDIUM UP,Kenny Dorham
lick,MEDIUM UP,Kenny Dorham
fragment,MEDIUM UP,Kenny Dorham
melody,MEDIUM UP,Kenny Dorham
rhythm,MEDIUM UP,Kenny Dorham
lick,MEDIUM UP,Kenny Wheeler
line,MEDIUM UP,Kenny Wheeler
melody,MEDIUM UP,Kenny Wheeler
expressive,MEDIUM UP,Kenny Wheeler
lick,MEDIUM,Kenny Wheeler
line,MEDIUM,Kenny Wheeler
expressive,MEDIUM,Kenny Wheeler
line,UP,Lee Konitz
lick,UP,Lee Konitz
fragment,UP,Lee Konitz
quote,UP,Lee Konitz
lick,MEDIUM,Lee Konitz
line,MEDIUM,Lee Konitz
melody,MEDIUM,Lee Konitz
theme,MEDIUM UP,Lee Konitz
line,MEDIUM UP,Lee Konitz
rhythm,MEDIUM,Lee Morgan
line,MEDIUM,Lee Morgan
lick,MEDIUM,Lee Morgan
lick,UP,Lee Morgan
line,UP,Lee Morgan
rhythm,UP,Lee Morgan
lick,MEDIUM UP,Lee Morgan
line,MEDIUM UP,Lee Morgan
rhythm,MEDIUM UP,Lee Morgan
melody,MEDIUM,Lee Morgan
lick,UP,Michael Brecker
line,UP,Michael Brecker
expressive,UP,Michael Brecker
fragment,UP,Michael Brecker
melody,UP,Michael Brecker
rhythm,UP,Michael Brecker
melody,MEDIUM,Michael Brecker
lick,MEDIUM,Michael Brecker
line,MEDIUM,Michael Brecker
rhythm,MEDIUM,Michael Brecker
lick,MEDIUM SLOW,Michael Brecker
line,MEDIUM SLOW,Michael Brecker
lick,UP,Miles Davis
line,UP,Miles Davis
fragment,UP,Miles Davis
melody,UP,Miles Davis
expressive,UP,Miles Davis
rhythm,MEDIUM UP,Miles Davis
lick,MEDIUM UP,Miles Davis
melody,MEDIUM UP,Miles Davis
line,MEDIUM UP,Miles Davis
fragment,MEDIUM UP,Miles Davis
expressive,MEDIUM UP,Miles Davis
rhythm,UP,Miles Davis
lick,MEDIUM,Miles Davis
